k_requested,k_actual,k_avail,xfer_k_bytes,xfer_k_ms,rep,step_idx,wall_ms,gpu_ms,gpu_ratio_pct,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
128,128,31265,1048576,0.06975606083869934,2,45,3085.7037,3085.6438,99.9981,9,2,1,27
128,128,31941,1048576,0.0676177442073822,2,46,3106.6945,3106.6345,99.9981,49,12,1,27
128,128,32617,1048576,0.06462447345256805,2,47,3160.2490,3160.1902,99.9981,62,46,1,27
128,128,33293,1048576,0.06407126784324646,2,48,3205.8240,3205.7639,99.9981,58,40,1,27
128,128,33969,1048576,0.06546452641487122,2,49,3192.9906,3192.9309,99.9981,60,42,1,27
128,128,34645,1048576,0.06280094385147095,2,50,3291.2736,3291.2122,99.9981,14,7,1,27
128,128,35321,1048576,0.06314925849437714,2,51,3440.7276,3440.6660,99.9982,82,65,1,27
128,128,35997,1048576,0.06421096622943878,2,52,3668.2781,3668.2146,99.9983,51,33,1,27
128,128,36673,1048576,0.06303749978542328,2,53,3440.3453,3440.2837,99.9982,33,17,1,27
128,128,37349,1048576,0.06406940519809723,2,54,4150.4742,4150.4058,99.9984,50,32,1,27
128,128,38025,1048576,0.06347894668579102,2,55,3523.8339,3523.7722,99.9983,81,64,1,27
128,128,38701,1048576,0.06362795829772949,2,56,3592.0920,3592.0298,99.9983,7,0,1,27
128,128,39377,1048576,0.0633876770734787,2,57,3673.9534,3673.8906,99.9983,48,30,1,27
128,128,40053,1048576,0.06363540887832642,2,58,3676.7487,3676.6863,99.9983,14,7,1,27
128,128,40729,1048576,0.06315484642982483,2,59,4095.2596,4095.1938,99.9984,55,38,1,27
128,128,41405,1048576,0.06457604467868805,2,60,3709.9253,3709.8616,99.9983,6,0,1,27
128,128,42081,1048576,0.06274692714214325,2,61,3850.1759,3850.1123,99.9983,7,0,1,27
128,128,42757,1048576,0.06267242133617401,2,62,3890.1884,3890.1252,99.9984,38,15,1,27
128,128,43433,1048576,0.08601881563663483,2,63,3993.1350,3993.0676,99.9983,35,15,1,27
256,256,22477,2097152,0.10604970157146454,0,32,2278.5826,2278.5227,99.9974,75,55,1,29
256,256,23153,2097152,0.10453537106513977,0,33,2322.7057,2322.6575,99.9979,26,10,1,27
256,256,23829,2097152,0.10655820369720459,0,34,2678.6925,2678.6411,99.9981,72,52,1,27
256,256,24505,2097152,0.1054033637046814,0,35,2313.8702,2313.8213,99.9979,21,7,1,27
256,256,25181,2097152,0.10604970157146454,0,36,2357.6793,2357.6321,99.9980,29,16,1,27
256,256,25857,2097152,0.10756216943264008,0,37,2385.8874,2385.8408,99.9980,37,21,1,27
256,256,26533,2097152,0.11770986020565033,0,38,2389.0780,2389.0303,99.9980,42,24,1,27
256,256,27209,2097152,0.10585598647594452,0,39,2588.8391,2588.7898,99.9981,40,24,1,27
256,256,27885,2097152,0.10586902499198914,0,40,2435.7773,2435.7302,99.9981,20,11,1,27
256,256,28561,2097152,0.10491907596588135,0,41,2498.1886,2498.1404,99.9981,68,49,1,27
256,256,29237,2097152,0.10601431131362915,0,42,3179.3771,3179.3242,99.9983,28,3,1,27
256,256,29913,2097152,0.10577961802482605,0,43,3308.2558,3308.2012,99.9983,29,15,1,27
256,256,30589,2097152,0.10383501648902893,0,44,3243.8546,3243.8005,99.9983,17,2,1,27
256,256,31265,2097152,0.11127442121505737,0,45,3237.1520,3237.0984,99.9983,20,3,1,27
256,256,31941,2097152,0.11295825242996216,0,46,2968.1206,2968.0693,99.9983,10,1,1,27
256,256,32617,2097152,0.10389275848865509,0,47,3409.2302,3409.1731,99.9983,15,2,1,27
256,256,33293,2097152,0.10505318641662598,0,48,3301.5228,3301.4685,99.9984,51,19,1,27
256,256,33969,2097152,0.10561197996139526,0,49,3337.9368,3337.8821,99.9984,29,4,1,27
256,256,34645,2097152,0.10427087545394897,0,50,3978.4242,3978.3638,99.9985,20,3,1,27
256,256,35321,2097152,0.10762922465801239,0,51,3769.9621,3769.9019,99.9984,15,2,1,27
256,256,35997,2097152,0.1074858009815216,0,52,3236.0138,3235.9600,99.9983,19,3,1,27
256,256,36673,2097152,0.11406652629375458,0,53,3438.3089,3438.2478,99.9982,38,5,1,27
256,256,37349,2097152,0.10699406266212463,0,54,3575.9089,3575.8538,99.9985,56,27,1,27
256,256,38025,2097152,0.10854005813598633,0,55,3610.0623,3610.0068,99.9985,54,23,1,27
256,256,38701,2097152,0.11577270925045013,0,56,3348.2162,3348.1609,99.9983,71,41,1,27
256,256,39377,2097152,0.12352876365184784,0,57,3795.9028,3795.8474,99.9985,69,39,1,27
256,256,40053,2097152,0.10746903717517853,0,58,3724.6364,3724.5798,99.9985,98,63,1,27
256,256,40729,2097152,0.115223228931427,0,59,4169.7747,4169.7158,99.9986,26,12,1,27
256,256,41405,2097152,0.12778490781784058,0,60,4015.5084,4015.4468,99.9985,98,63,1,27
256,256,42081,2097152,0.11620298027992249,0,61,3585.9035,3585.8489,99.9985,23,9,1,27
256,256,42757,2097152,0.10613538324832916,0,62,3793.5944,3793.5371,99.9985,25,10,1,27
256,256,43433,2097152,0.1165829598903656,0,63,4310.3840,4310.3223,99.9986,69,26,1,27
256,256,22477,2097152,0.11109188199043274,1,32,2173.3324,2173.2773,99.9975,55,15,1,29
256,256,23153,2097152,0.11394917964935303,1,33,2494.3064,2494.2629,99.9983,36,18,1,27
256,256,23829,2097152,0.106053426861763,1,34,2328.6428,2328.6001,99.9982,65,21,1,27
